length,entropy,special_char_ratio,b64_keyword,eval_cnt,exec_cnt,system_cnt,shell_exec_cnt,passthru_cnt,assert_cnt,user_input,hex_enc,chr_ord,long_b64,is_b64_logic,socket_cnt,fsockopen_cnt,curl_cnt,fopen_cnt,file_get_contents_cnt,brackets,pipe,semicolon,upper_ratio,avg_line_len,max_word_len,has_multi,has_filen,has_conte,label
24829,6.021256139612537,0.29260139353175724,0,0,6,4,2,2,0,28,0,0,1,0,0,0,6,2,0,555,0,465,0.20943251842603408,40.176375404530745,115,1,1,1,1
64548,5.80370167728498,0.3894001363326517,6,18,7,4,2,2,0,156,0,0,1,0,0,2,10,10,0,1484,11,1158,0.10841544277127099,40.95685279187817,115,1,1,1,1
2475,5.487186768280058,0.4206060606060606,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,39,0,44,0.13616161616161615,31.329113924050635,16,0,0,0,1
10269,6.238475491080619,0.34550589151816147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,93,0.2088810984516506,136.92,21,0,0,0,1
53740,5.439781352829302,0.4336992928917008,6,1,28,0,0,0,0,66,0,50,1,0,0,0,0,2,0,1455,29,569,0.03446222553033122,26.074721009218827,119,1,1,1,1
81299,5.775103071159087,0.3724277051378246,17,12,11,0,0,15,0,198,0,0,1,0,10,0,2,19,0,1924,19,1068,0.0949458172917256,38.585192216421454,3762,1,1,1,1
18370,4.561242813662151,0.5671203048448558,0,12,15,4,3,4,0,63,0,0,0,0,0,0,0,1,0,389,1,161,0.027762656505171474,31.188455008488965,20,1,0,0,1
2988,5.190336806886463,0.3396921017402945,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,67,0.0823293172690763,23.904,24,0,0,0,1
25718,5.290280992638066,0.42153355626409517,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,486,2,385,0.04071078621976826,32.63705583756345,22,1,1,0,1
4656,5.699061488203844,0.43019759450171824,2,7,1,0,0,1,0,22,0,0,0,0,0,1,0,0,0,106,28,56,0.08268900343642611,20.33187772925764,14,1,0,0,1
33731,5.192033005061899,0.37908748628857725,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,128,0.045536746612908005,37.437291897891235,16,0,0,0,1
1340,5.126789569930866,0.3253731343283582,0,0,5,0,4,0,0,2,0,0,0,0,0,0,0,0,0,9,1,15,0.029850746268656716,39.411764705882355,12,0,0,0,1
2480,4.701551236311993,0.5915322580645161,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,47,8,26,0.035483870967741936,27.555555555555557,18,1,0,0,1
13831,5.8518901386966915,0.3913672185669872,0,1,30,2,2,2,0,24,0,0,0,0,3,0,0,4,0,359,2,234,0.07823006290217627,26.908560311284045,21,1,0,0,1
2556,5.257194213580833,0.465962441314554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,41,0.054773082942097026,27.19148936170213,20,0,0,0,1
7180,5.339116371164013,0.3565459610027855,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,0,61,0.04637883008356546,39.23497267759563,15,1,1,1,1
34501,5.440726491579997,0.40714761890959683,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,525,21,612,0.059244659575084783,26.47812739831159,24,0,1,1,1
33796,5.354404482367112,0.39806485974671557,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,523,21,610,0.05977038702805066,28.984562607204115,24,0,1,1,1
3801,5.177672831587963,0.43567482241515393,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,32,0.039200210470928705,25.857142857142858,17,0,0,0,1
16114,5.160459466025224,0.3869926771751272,0,0,10,5,0,0,0,0,0,1,0,0,0,0,0,1,0,206,9,222,0.0602581606056845,38.27553444180523,20,0,0,0,1
51962,4.753120149691789,0.5441668911897155,0,0,46,32,11,13,0,0,0,0,0,0,0,0,0,12,4,1299,26,826,0.031542280897579,42.21121039805037,22,1,0,0,1
34391,5.441918626410941,0.40536768340554213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,21,612,0.05943415428455119,29.419161676646706,24,0,1,1,1
33081,4.457977135575352,0.5633747468335298,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,469,10,281,0.033161028989450135,30.6873840445269,18,0,1,0,1
2590,5.242912644328213,0.4996138996138996,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,40,2,26,0.09768339768339768,42.459016393442624,18,1,0,0,1
53629,6.090160964192575,0.3677487926308527,18,5,17,0,0,2,0,103,0,3,1,0,6,2,0,21,5,1252,35,804,0.08327583956441477,36.21134368669818,76,1,1,1,1
38856,5.321677814463213,0.28371422688902614,0,0,0,36,0,0,0,0,0,59,0,0,0,0,0,0,0,516,58,14,0.08433703932468602,38.3573543928924,39,1,1,1,1
122250,5.507608663699905,0.380719836400818,4,0,23,6,0,0,0,21,0,6,1,0,0,2,0,23,0,2370,13,2008,0.056515337423312884,21.81477516059957,36,1,1,1,1
2874,5.6807151767094,0.42066805845511485,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,2,0,80,0,71,0.1315240083507307,42.8955223880597,16,0,0,0,1
12817,5.639099564403944,0.4078177420613248,0,4,17,4,2,5,0,14,0,0,0,0,0,0,5,1,0,372,0,232,0.07685105718966997,34.454301075268816,19,0,0,0,1
81159,5.769496958551178,0.3723801426828818,17,12,11,0,0,15,0,199,0,0,1,0,10,0,2,19,0,1920,19,1060,0.09361869909683461,37.99578651685393,3762,1,1,1,1
24678,5.20236400370298,0.3955750060782883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,73,0,135,0.049679876813356026,41.336683417085425,13,0,0,0,1
25944,4.414985644771499,0.6156336725254394,0,0,5,1,0,1,0,0,0,0,0,0,3,1,0,6,0,472,19,341,0.06460067838421214,40.921135646687695,16,0,0,0,1
2026,5.533153635699662,0.36229022704837116,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,36,0,32,0.16288252714708787,33.21311475409836,14,0,0,0,1
37240,5.297075882225582,0.45853920515574653,0,0,15,2,0,1,0,4,0,0,0,0,0,0,0,3,0,622,22,539,0.043313641245972076,36.83481701285856,17,1,1,1,1
88607,5.4207866546450845,0.47998465132551604,21,13,15,11,0,0,0,0,6,13,1,0,1,0,0,12,0,1982,114,1281,0.05974697258681594,34.70701135918527,76,1,1,1,1
2334,5.175433314439401,0.47429305912596403,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,56,1,2,0.055269922879177376,19.289256198347108,11,0,0,0,1
62716,5.578803136820129,0.4244530901205434,0,0,8,1,0,0,0,93,0,0,1,0,1,0,0,3,0,1934,19,1133,0.03694432042859876,43.044612216884005,31,1,1,1,1
1124,5.296818438900781,0.4083629893238434,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,12,8,12,0.0711743772241993,30.37837837837838,13,0,0,0,1
18291,5.014457679114077,0.5386802252473895,0,2,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,700,4,383,0.04996993056694549,26.585755813953487,14,0,0,0,1
2800,5.372972945365692,0.42607142857142855,0,0,4,1,0,1,0,15,0,0,0,0,0,0,0,1,0,67,2,42,0.09678571428571428,38.888888888888886,18,1,1,0,1
46934,5.325263126424982,0.49166915242681214,4,11,33,4,0,2,0,5,0,0,0,0,36,1,0,5,0,888,21,615,0.042975241828951294,35.745620715917745,26,0,1,1,1
3865,5.4262872554822765,0.4478654592496766,0,0,2,2,0,0,0,16,0,0,0,0,0,0,0,0,0,116,0,48,0.07865459249676585,29.06015037593985,18,1,1,1,1
86919,5.617751992416073,0.360450534405596,9,8,24,13,3,3,0,276,3,38,0,0,5,13,14,20,9,2445,21,1376,0.05210598373198035,61.51380042462845,24,1,1,1,1
4960,5.484413089321568,0.3647177419354839,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,35,0.08770161290322581,28.0225988700565,17,0,0,0,1
869,5.215653566761856,0.41196777905638665,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,15,0,9,0.04948216340621404,24.13888888888889,11,1,0,0,1
520,5.387474323751916,0.39615384615384613,0,0,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,11,2,12,0.06153846153846154,21.666666666666668,16,0,0,0,1
9277,6.190046791750237,0.3538859545111566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,6,126,0.2539614099385577,79.97413793103448,27,0,0,0,1
7445,5.347354075211062,0.3219610476830087,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,18,0.13270651443922096,29.661354581673308,16,0,0,0,1
5107,5.796887427552427,0.42294889367534755,2,7,1,0,0,1,0,22,0,0,0,0,0,1,0,0,0,116,28,70,0.1053456040728412,22.30131004366812,15,1,0,0,1
79356,5.983027859363952,0.41415897978728766,5,14,24,3,2,2,0,220,0,1,1,0,0,0,15,6,0,1562,23,1018,0.10287816926256364,41.59119496855346,115,1,0,0,1
103892,5.799030975150619,0.4202633504023409,5,14,24,3,2,2,0,376,32,3,1,0,0,0,13,8,0,2728,36,1176,0.09580140915566165,47.095194922937445,115,1,1,1,1
86594,5.857232874454784,0.4043813659144975,3,13,23,3,2,2,0,337,0,1,1,0,0,0,13,6,0,2252,33,1007,0.11317181328960436,45.84118581259926,115,1,0,0,1
13042,5.4068282974878645,0.5052139242447478,0,0,2,1,0,0,0,8,0,0,1,0,0,0,0,1,1,90,37,54,0.06693758625977611,37.36962750716332,34,1,0,0,1
37723,5.003266354640536,0.4987408212496355,0,0,12,1,1,1,0,8,0,0,0,0,0,0,0,3,0,530,21,524,0.03936590409034276,39.666666666666664,16,1,1,1,1
5306,5.595523361707365,0.32189973614775724,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,86,0,138,0.0968714662646061,59.61797752808989,17,0,0,0,1
829,5.051634182475258,0.41978287092882993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.12545235223160434,29.607142857142858,15,0,0,0,1
11627,5.387758163642777,0.44800894469768643,0,0,2,0,1,1,0,16,0,0,0,0,1,1,0,2,0,167,2,125,0.03233852240474757,30.75925925925926,18,1,1,1,1
5164,5.268258256960541,0.4624322230828815,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,159,6,56,0.06700232378001549,28.68888888888889,20,0,0,0,1
3924,5.288118947576899,0.3761467889908257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,2,43,0.0254841997961264,31.392,13,0,0,0,1
103794,5.916658155896052,0.42114187717979845,3,14,23,2,2,2,0,382,33,3,1,0,0,0,16,9,0,2784,34,1200,0.0895331136674567,46.21282279608192,115,1,1,1,1
98937,5.935771883641157,0.3915319850005559,3,12,20,2,2,2,0,337,0,1,1,0,0,0,13,6,0,2263,35,3053,0.10067012341186816,52.403072033898304,115,1,0,0,1
5121,5.152507331619721,0.41437219293106814,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,174,0.033391915641476276,36.319148936170215,15,1,0,0,1
22128,4.807040390313605,0.603940708604483,0,2,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,709,69,377,0.04324837310195228,31.387234042553192,14,0,0,0,1
328,5.004014862376653,0.4878048780487805,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,5,0.06402439024390244,18.22222222222222,10,0,0,0,1
335,5.24392947990924,0.3940298507462687,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0.05970149253731343,17.63157894736842,10,0,0,0,1
18008,4.478105144380605,0.4470235450910706,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,226,0,3,0.041925810750777434,32.74181818181818,21,0,0,0,1
86594,5.974371848925013,0.3809155368732245,3,13,23,3,2,2,0,337,0,1,1,0,0,0,13,6,0,2252,33,1007,0.11496177564265422,45.84118581259926,115,1,0,0,1
213,4.935278848498506,0.4694835680751174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,8,0.028169014084507043,15.214285714285714,10,0,0,0,1
45542,5.542231110207349,0.32561152342892274,0,0,1,24,0,0,0,0,0,8,1,0,0,0,0,0,0,573,33,89,0.12423696807342673,57.430012610340476,2964,1,1,1,1
26841,4.626730257765947,0.5466264297157334,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,247,90,200,0.05037070153869081,38.45415472779369,25,1,1,1,1
23164,5.087464370608239,0.47168019340355727,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,247,90,200,0.059661543774823,33.42568542568542,25,1,1,1,1
11253,5.3380479411361925,0.4975562072336266,0,4,5,2,0,0,0,0,0,12,0,0,2,0,0,0,0,405,21,281,0.07784590775793122,24.304535637149026,13,0,0,0,1
280,5.374564759162656,0.30357142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.2857142857142857,28.0,18,1,0,0,1
25560,4.751793125668291,0.534585289514867,0,18,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,481,2,351,0.02335680751173709,29.379310344827587,18,0,0,0,1
5057,5.200555093920426,0.39707336365434054,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,129,0.03559422582558829,49.09708737864078,24,1,0,0,1
2455,5.361085517464053,0.4309572301425662,0,0,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,33,0,45,0.0855397148676171,35.07142857142857,24,1,0,0,1
131594,5.38632847422257,0.42334756903810206,38,17,62,6,0,3,0,13,0,3,0,0,0,4,2,12,18,4156,11,2035,0.033633752298737024,49.58327053504145,24,1,1,1,1
3955,5.122202210948786,0.4427307206068268,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,62,2,49,0.04450063211125158,30.8984375,17,0,0,0,1
142739,5.438395616168186,0.414757004042343,40,19,66,8,2,6,0,61,0,3,1,0,0,0,7,12,17,4132,12,2052,0.03989799564239626,50.41999293535853,98,1,1,1,1
70657,6.118522804966636,0.06156502540441853,1,0,2,1,0,2,0,15,0,0,1,0,1,0,0,2,1,198,2,98,0.43108255374555954,263.6455223880597,715,0,1,1,1
111696,5.481094774467341,0.3789750752041255,4,0,22,5,0,0,0,21,0,6,1,0,0,2,0,23,0,2014,13,1666,0.053009955593754474,23.17344398340249,36,1,1,1,1
50216,4.934742616482339,0.4106061812967978,0,0,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,407,5,88,0.06858371833678509,42.19831932773109,22,1,1,1,1
15878,5.608153724519728,0.3958307091573246,0,20,0,0,0,0,0,42,0,0,0,0,0,0,0,4,0,528,8,283,0.04755006927824663,31.69261477045908,20,1,1,1,1
48668,6.081541628398366,0.2838826333525109,10,13,5,13,2,2,0,68,0,0,1,0,0,0,0,3,2,889,33,586,0.20198076765020137,40.12201154163232,76,1,1,1,1
26186,6.049855464186407,0.043611089895363934,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,11,0.3855877186282747,1246.952380952381,306,0,0,0,1
818,5.419466094196941,0.4828850855745721,0,1,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,61,1,20,0.05378973105134474,22.72222222222222,23,0,0,0,1
993,4.858323386813898,0.56797583081571,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,73,1,19,0.012084592145015106,34.241379310344826,20,0,0,0,1
589,5.442629791061546,0.4685908319185059,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,16,0.059422750424448216,19.633333333333333,17,0,0,0,1
620,5.7167527635654665,0.3741935483870968,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,2,17,0.06129032258064516,22.962962962962962,58,0,0,0,1
836,4.740156338129495,0.6064593301435407,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,47,1,22,0.08732057416267942,23.885714285714286,16,0,0,0,1
840,4.73819062107024,0.6035714285714285,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,47,1,22,0.0869047619047619,24.0,16,0,0,0,1
631,5.05959883885185,0.46275752773375595,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,16,0.05388272583201268,23.37037037037037,17,0,0,0,1
842,5.016323660772833,0.46318289786223277,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,0,19,0.052256532066508314,26.3125,16,0,0,0,1
337,4.583301466461795,0.47477744807121663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0.026706231454005934,15.318181818181818,15,0,0,0,1
473,4.5373867976602185,0.47780126849894294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0.019027484143763214,18.192307692307693,15,0,0,0,1
632,4.440969495328902,0.504746835443038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,10,0.022151898734177215,13.446808510638299,8,0,0,0,1
59,5.085701523791437,0.3898305084745763,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0.1694915254237288,59.0,13,0,0,0,1
87,5.397038685967223,0.27586206896551724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0.1839080459770115,87.0,28,0,0,0,1
11807,5.036331542467167,0.5520453967985094,5,0,7,1,0,0,0,7,0,8,0,0,0,0,0,6,0,375,32,229,0.04294062844075548,25.556277056277057,29,0,0,0,1
10432,4.928564672269646,0.5597200920245399,5,0,7,1,0,0,0,5,0,8,0,0,0,0,0,6,0,339,32,212,0.045916411042944784,25.694581280788178,24,0,0,0,1
10113,5.579174120355854,0.4111539602491842,5,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,198,38,3,0.057253040640759416,28.894285714285715,23,0,1,0,1
1816,5.197197355700982,0.40308370044052866,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0.06387665198237885,31.859649122807017,15,0,0,0,1
628,5.470998906469164,0.27229299363057324,4,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0.14968152866242038,209.33333333333334,16,0,0,0,1
86580,5.825787960569107,0.32274197274197275,0,2,11,42,0,0,0,0,0,29,0,0,0,0,0,0,0,1167,62,230,0.13192423192423192,46.27471940138963,31,1,1,1,1
1112,5.603067139665683,0.38489208633093525,0,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,2,0.05665467625899281,39.714285714285715,15,0,0,0,1
171,5.364013024891266,0.40350877192982454,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0.04093567251461988,10.058823529411764,13,0,0,0,1
34432,5.499891700641487,0.3089567843866171,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,334,0,79,0.11707132899628253,41.58454106280193,22,1,1,1,1
136960,5.579361022665207,0.4121495327102804,0,0,68,8,0,0,0,0,0,15,1,0,0,0,0,0,0,1810,166,281,0.16649386682242992,266.9785575048733,32,0,1,0,1
43693,5.992867263465711,0.27002036939555535,0,0,13,8,0,0,0,0,0,2,1,0,0,0,0,0,0,678,26,248,0.1368640285629277,30.554545454545455,450,0,1,1,1
24203,5.839112999072825,0.32776928479940504,0,6,15,1,0,0,0,0,0,3,0,0,0,0,0,0,0,375,19,52,0.11783663182250134,39.354471544715445,25,0,1,0,1
4866,7.74173456240187,0.19317714755445953,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,0,0.061241265926839296,31.5974025974026,56,0,0,0,1
96727,5.598910201759596,0.3899635055361998,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1907,78,480,0.26265675561115304,4205.521739130435,203,0,0,0,1
99221,6.096838358366229,0.4342830650769494,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2472,71,617,0.2722205984620191,2362.404761904762,24,0,0,0,1
2928,5.70851877803088,0.2568306010928962,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,0,0.09870218579234973,36.148148148148145,297,0,0,0,1
1370,5.376428979003974,0.39343065693430657,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0.041605839416058395,24.90909090909091,16,0,0,0,1
92115,5.907029881591876,0.26652553872876295,0,0,20,17,0,0,0,0,0,13,0,0,0,0,0,0,0,1271,59,190,0.16011507354936763,71.62908242612752,67,0,1,0,1
367,5.056007088649528,0.3405994550408719,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0.1008174386920981,52.42857142857143,15,0,0,0,1
1275,4.474357700558483,0.4031372549019608,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.02980392156862745,24.056603773584907,17,0,0,0,1
70029,5.634698314252741,0.2948207171314741,2,0,27,34,0,0,0,0,0,3,1,0,16,0,0,0,0,1934,69,1363,0.11710862642619486,27.132506780317705,34,0,1,1,1
5649,4.878906423721715,0.20835546114356523,6,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.07505753230660293,52.30555555555556,21,0,0,0,1
